time=2025-07-02T09:34:07.925+02:00 level=INFO msg="Server starting" time=2025-07-02T09:34:07+02:00
time=2025-07-02T09:34:07.925+02:00 level=INFO msg="[SERVER] Loaded config."
time=2025-07-02T09:34:07.925+02:00 level=INFO msg="[LUTRON] Lutron cache initialized"
time=2025-07-02T09:34:08.036+02:00 level=INFO msg=[WEBSOCKET] "connection established"=true
time=2025-07-02T09:34:08.440+02:00 level=INFO msg="[LUTRON] Lutron routine started"
time=2025-07-02T09:34:08.440+02:00 level=INFO msg="[BACNET] Bacnet cache initialized"
time=2025-07-02T09:34:08.441+02:00 level=INFO msg="[BACNET] Bacnet routine started"
time=2025-07-02T09:34:08.443+02:00 level=INFO msg="[CYVIZ] Initialized Cyviz Cache"
time=2025-07-02T09:34:08.440+02:00 level=INFO msg="[LUTRON] Read routine started"
time=2025-07-02T09:34:08.441+02:00 level=INFO msg="[BACNET] Read routine started"
time=2025-07-02T09:34:08.453+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=4 ip=10.10.100.1:15555
time=2025-07-02T09:34:08.453+02:00 level=INFO msg="[CYVIZ] Read routine started" roomId=4
time=2025-07-02T09:34:08.464+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=3 ip=10.10.100.2:15555
time=2025-07-02T09:34:08.464+02:00 level=INFO msg="[CYVIZ] Read routine started" roomId=3
[GIN] 2025/07/02 - 09:34:08 | 200 |       533.2µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/02 - 09:34:17 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/02 - 09:34:27 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/02 - 09:34:37 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/02 - 09:34:47 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/02 - 09:34:57 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/02 - 09:35:07 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/02 - 09:35:12 | 200 |            0s |             ::1 | GET      "/modes?roomId=4"
[GIN] 2025/07/02 - 09:35:17 | 200 |      4.4905ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/02 - 09:35:22 | 200 |            0s |             ::1 | GET      "/modes?roomId=4"
[GIN] 2025/07/02 - 09:35:27 | 200 |       353.5µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/02 - 09:35:27 | 200 |            0s |             ::1 | GET      "/modes?roomId=4"
[GIN] 2025/07/02 - 09:35:32 | 200 |            0s |             ::1 | GET      "/modes?roomId=4"
[GIN] 2025/07/02 - 09:35:35 | 200 |            0s |             ::1 | GET      "/modes?roomId=4"
