time=2025-07-07T00:30:16.306+02:00 level=INFO msg="Server starting" time=2025-07-07T00:30:16+02:00
time=2025-07-07T00:30:16.306+02:00 level=INFO msg="[SERVER] Loaded config."
time=2025-07-07T00:30:16.306+02:00 level=INFO msg="[LUTRON] Lutron cache initialized"
time=2025-07-07T00:30:16.403+02:00 level=INFO msg=[WEBSOCKET] "connection established"=true
time=2025-07-07T00:30:16.818+02:00 level=INFO msg="[LUTRON] Lutron routine started"
time=2025-07-07T00:30:16.819+02:00 level=INFO msg="[BACNET] Bacnet cache initialized"
time=2025-07-07T00:30:16.818+02:00 level=INFO msg="[LUTRON] Read routine started"
time=2025-07-07T00:30:16.819+02:00 level=INFO msg="[BACNET] Bacnet routine started"
time=2025-07-07T00:30:16.822+02:00 level=INFO msg="[CYVIZ] Initialized Cyviz Cache"
time=2025-07-07T00:30:16.819+02:00 level=INFO msg="[BACNET] Read routine started"
time=2025-07-07T00:30:16.837+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=4 ip=10.10.100.1:15555
time=2025-07-07T00:30:16.849+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=3 ip=10.10.100.2:15555
[GIN] 2025/07/07 - 00:30:17 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:30:27 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:30:37 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:30:47 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:30:57 | 200 |       307.1µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:31:07 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:31:17 | 200 |      3.5366ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:31:27 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:31:37 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:31:47 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:31:57 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:32:07 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:32:17 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:32:27 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
