time=2025-07-13T09:08:36.579+02:00 level=INFO msg="Server starting" time=2025-07-13T09:08:36+02:00
time=2025-07-13T09:08:36.579+02:00 level=INFO msg="[SERVER] Loaded config."
time=2025-07-13T09:08:36.579+02:00 level=INFO msg="[LUTRON] Lutron cache initialized"
time=2025-07-13T09:08:36.676+02:00 level=INFO msg=[WEBSOCKET] "connection established"=true
time=2025-07-13T09:08:41.580+02:00 level=ERROR msg="[SERVER] Failed to start Lutron routine" error="failed to connect to Lutron system: dial tcp 172.31.105.236:23: i/o timeout"
time=2025-07-13T09:08:41.580+02:00 level=INFO msg="[BACNET] Bacnet cache initialized"
time=2025-07-13T09:08:41.580+02:00 level=INFO msg="[BACNET] Bacnet routine started"
time=2025-07-13T09:08:41.580+02:00 level=INFO msg="[BACNET] Read routine started"
time=2025-07-13T09:08:41.580+02:00 level=INFO msg="[CYVIZ] Initialized Cyviz Cache"
time=2025-07-13T09:08:41.588+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=4 ip=10.10.100.1:15555
time=2025-07-13T09:08:41.625+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=3 ip=10.10.100.2:15555
[GIN] 2025/07/13 - 09:08:44 | 200 |       510.1µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:08:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:09:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:09:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:09:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:09:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:09:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:09:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:10:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:10:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:10:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:10:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:10:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:10:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:11:00 | 200 |       761.3µs |             ::1 | GET      "/modes?roomId=4"
[GIN] 2025/07/13 - 09:11:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:11:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:11:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:11:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:11:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:11:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:12:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:12:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:12:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:12:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:12:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:12:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:13:04 | 200 |      2.6382ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:13:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:13:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:13:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:13:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:13:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:14:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:14:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:14:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:14:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:14:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:14:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:15:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:15:14 | 200 |      2.0641ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:15:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:15:34 | 200 |         635µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:15:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:15:54 | 200 |      1.0344ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:16:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:16:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:16:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:16:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:16:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:16:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:17:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:17:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:17:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:17:34 | 200 |      1.4562ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:17:44 | 200 |      4.2919ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:17:54 | 200 |      1.6026ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:18:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:18:14 | 200 |      6.4932ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:18:24 | 200 |       576.2µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:18:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:18:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:18:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:19:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:19:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:19:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
