time=2025-07-13T09:23:38.713+02:00 level=INFO msg="Server starting" time=2025-07-13T09:23:38+02:00
time=2025-07-13T09:23:38.714+02:00 level=INFO msg="[SERVER] Loaded config."
time=2025-07-13T09:23:38.714+02:00 level=INFO msg="[LUTRON] Lutron cache initialized"
time=2025-07-13T09:23:38.779+02:00 level=INFO msg=[WEBSOCKET] "connection established"=true
time=2025-07-13T09:23:39.228+02:00 level=INFO msg="[LUTRON] Lutron routine started"
time=2025-07-13T09:23:39.228+02:00 level=INFO msg="[LUTRON] Read routine started"
time=2025-07-13T09:23:39.228+02:00 level=INFO msg="[BACNET] Bacnet cache initialized"
time=2025-07-13T09:23:39.230+02:00 level=INFO msg="[BACNET] Bacnet routine started"
time=2025-07-13T09:23:39.230+02:00 level=INFO msg="[CYVIZ] Initialized Cyviz Cache"
time=2025-07-13T09:23:39.230+02:00 level=INFO msg="[BACNET] Read routine started"
time=2025-07-13T09:23:39.238+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=4 ip=10.10.100.1:15555
time=2025-07-13T09:23:39.250+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=3 ip=10.10.100.2:15555
[GIN] 2025/07/13 - 09:23:44 | 200 |       516.8µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:23:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:24:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:24:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:24:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:24:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:24:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:24:45 | 200 |            0s |             ::1 | GET      "/modes?roomId=4"
[GIN] 2025/07/13 - 09:24:54 | 200 |       5.325ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:25:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:25:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:25:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:25:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:25:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:25:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:26:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:26:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:26:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:26:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:26:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:26:54 | 200 |      6.2464ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:27:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:27:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:27:24 | 200 |      1.4008ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:27:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:27:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:27:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:28:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:28:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:28:24 | 200 |      3.7066ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:28:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:28:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:28:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:29:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:29:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:29:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:29:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:29:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:29:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:30:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:30:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:30:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:30:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:30:44 | 200 |       801.4µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:30:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:31:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:31:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:31:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:31:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:31:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:31:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:32:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:32:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:32:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:32:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:32:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:32:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:33:04 | 200 |       5.313ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:33:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:33:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:33:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:33:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:33:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:34:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:34:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:34:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:34:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:34:44 | 200 |         411µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:34:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:35:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:35:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:35:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:35:34 | 200 |       2.772ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:35:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:35:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:36:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:36:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:36:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:36:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:36:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:36:54 | 200 |       415.6µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:37:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:37:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:37:24 | 200 |      2.7112ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:37:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:37:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:37:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:38:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:38:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:38:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:38:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:38:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:38:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:39:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:39:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:39:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:39:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:39:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:39:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:40:04 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:40:14 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:40:24 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:40:34 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:40:44 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/13 - 09:40:54 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
